"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",93.952711363688,71.9188378772383,114.364648750752,0.95,"mean","qi"
"bfs","compassql","movies",101.070858800799,78.1263048222382,124.053314580658,0.95,"mean","qi"
"bfs","dziban","birdstrikes",100.274775768628,77.6889465126742,124.009803678197,0.95,"mean","qi"
"bfs","dziban","movies",109.496206999825,88.1997418882803,131.832095726836,0.95,"mean","qi"
"dfs","compassql","birdstrikes",37.3585912230917,13.9881778077848,60.3463533683855,0.95,"mean","qi"
"dfs","compassql","movies",46.9600767993071,24.9418109453297,69.3322095304743,0.95,"mean","qi"
"dfs","dziban","birdstrikes",90.9060360475924,68.2552164738396,113.942342080177,0.95,"mean","qi"
"dfs","dziban","movies",110.111324933304,87.7941761006799,131.91982821491,0.95,"mean","qi"
"bfs","compassql","birdstrikes",93.952711363688,86.7677719144755,101.310679114681,0.5,"mean","qi"
"bfs","compassql","movies",101.070858800799,93.0965103246113,109.061566890238,0.5,"mean","qi"
"bfs","dziban","birdstrikes",100.274775768628,92.3249446009638,108.087355138589,0.5,"mean","qi"
"bfs","dziban","movies",109.496206999825,101.98968809604,116.702854660751,0.5,"mean","qi"
"dfs","compassql","birdstrikes",37.3585912230917,29.1110252977915,45.4594339864914,0.5,"mean","qi"
"dfs","compassql","movies",46.9600767993071,39.7568455645388,54.2489115696614,0.5,"mean","qi"
"dfs","dziban","birdstrikes",90.9060360475924,82.5722802564689,99.1837000159021,0.5,"mean","qi"
"dfs","dziban","movies",110.111324933304,102.540752300273,117.674992685267,0.5,"mean","qi"
